Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Schwarzhorn,2928,966,8.0756,46.6861,Bernese Prealps,Bern,CH,0
Rocher Blanc,2928,939,6.1072,45.2417,Belledonne,Isère,FR,0
Badus / Six Madun,2928,529,8.6636,46.6225,Leone-Gotthard Alps,Graubünden/Uri,CH,1785
Tête des Lauzières,2928,339,6.5283,44.8742,Massif des Écrins,Hautes-Alpes,FR,0
Vollandspitze,2928,295,10.1767,47.0186,Verwall,North Tyrol,AT,1886
Eggishorn,2927,563,8.0942,46.4314,Bernese Alps,Valais,CH,0
Cima Bastioni Sud,2926,554,12.2678,46.4853,Dolomites - NE,Belluno,IT,1890
Pizzo del Diavolo della Malgina,2926,330,10.0467,46.0847,Bergamo Alps,Bergamo/Sondrio,IT,0
Edlenkopf,2923,441,12.9264,47.1364,Goldberg Group,Salzburg,AT,0
Mährenhorn,2923,355,8.3108,46.6917,Urner Alps,Bern,CH,0
